2015-12-17 16:57:34 status unpacked libblkid1:armhf 2.25.2-6
2015-12-17 16:57:34 status unpacked libblkid1:armhf 2.25.2-6
2015-12-17 16:57:34 install libbz2-1.0:armhf <none> 1.0.6-7+b3
2015-12-17 16:57:34 status half-installed libbz2-1.0:armhf 1.0.6-7+b3
2015-12-17 16:57:34 status unpacked libbz2-1.0:armhf 1.0.6-7+b3
2015-12-17 16:57:34 status unpacked libbz2-1.0:armhf 1.0.6-7+b3
2015-12-17 16:57:34 install libc-bin:armhf <none> 2.19-18
2015-12-17 16:57:34 status half-installed libc-bin:armhf 2.19-18
2015-12-17 16:57:35 status unpacked libc-bin:armhf 2.19-18
2015-12-17 16:57:35 status unpacked libc-bin:armhf 2.19-18
2015-12-17 16:57:35 upgrade libc6:armhf 2.19-18 2.19-18
2015-12-17 16:57:35 status half-configured libc6:armhf 2.19-18
2015-12-17 16:57:35 status unpacked libc6:armhf 2.19-18
2015-12-17 16:57:35 status half-installed libc6:armhf 2.19-18
2015-12-17 16:57:37 status half-installed libc6:armhf 2.19-18
2015-12-17 16:57:37 status unpacked libc6:armhf 2.19-18
2015-12-17 16:57:37 status unpacked libc6:armhf 2.19-18
2015-12-17 16:57:37 install libcap2:armhf <none> 1:2.24-8
2015-12-17 16:57:37 status half-installed libcap2:armhf 1:2.24-8
2015-12-17 16:57:38 status unpacked libcap2:armhf 1:2.24-8
2015-12-17 16:57:38 status unpacked libcap2:armhf 1:2.24-8
2015-12-17 16:57:38 install libcap2-bin:armhf <none> 1:2.24-8
2015-12-17 16:57:38 status half-installed libcap2-bin:armhf 1:2.24-8
2015-12-17 16:57:38 status unpacked libcap2-bin:armhf 1:2.24-8
2015-12-17 16:57:38 status unpacked libcap2-bin:armhf 1:2.24-8
2015-12-17 16:57:38 install libcomerr2:armhf <none> 1.42.12-1.1
2015-12-17 16:57:38 status half-installed libcomerr2:armhf 1.42.12-1.1
2015-12-17 16:57:38 status unpacked libcomerr2:armhf 1.42.12-1.1
2015-12-17 16:57:38 status unpacked libcomerr2:armhf 1.42.12-1.1
2015-12-17 16:57:38 install libcryptsetup4:armhf <none> 2:1.6.6-5kali1
2015-12-17 16:57:38 status half-installed libcryptsetup4:armhf 2:1.6.6-5kali1
2015-12-17 16:57:39 status unpacked libcryptsetup4:armhf 2:1.6.6-5kali1
2015-12-17 16:57:39 status unpacked libcryptsetup4:armhf 2:1.6.6-5kali1
2015-12-17 16:57:39 install libdb5.3:armhf <none> 5.3.28-9
2015-12-17 16:57:39 status half-installed libdb5.3:armhf 5.3.28-9
2015-12-17 16:57:39 status unpacked libdb5.3:armhf 5.3.28-9
2015-12-17 16:57:39 status unpacked libdb5.3:armhf 5.3.28-9
2015-12-17 16:57:39 install libdebconfclient0:armhf <none> 0.192
